Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
MYH7,CV_414.1 [Hypertrophic cardiomyopathy],0.573,1,4.0,Inhibition,mavacamten (IV),1,0.234,Activation,"danicamtiv, omecamtiv mecarbil",mavacamten,
VWF,GE_971.14 [Von Willebrand's disease],0.492,1,4.0,Other or unknown,"coagulation factor viii/von willebrand factor complex (IV)
 egaptivon (II), von willebrand factor (III), vonicog (IV)",1,0.94,Activation,,"caplacizumab, egaptivon","coagulation factor viii/von willebrand factor complex, von willebrand factor, vonicog"
MYH6,CV_414.1 [Hypertrophic cardiomyopathy],0.427,1,4.0,Inhibition,mavacamten (IV),1,0.211,Activation,"danicamtiv, omecamtiv mecarbil",mavacamten,
HTT,GE_973.5 [Huntington's disease],0.41,1,3.0,Inhibition,tominersen (III),1,0.904,Inhibition,,tominersen,
TPM1,CV_414.1 [Hypertrophic cardiomyopathy],0.409,0,0.0,,,0,0.006,Activation,,,
CACNA1A,GE_972.2 [Hereditary ataxia],0.404,1,4.0,Other or unknown,gabapentin (IV),1,0.999,Activation,,"bepridil, elpetrigine, enflurane, phenytoin, phloroglucinol, suloctidil, terodiline","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
DYSF,GE_972.9 [Muscular dystrophy],0.396,1,0.5,Other or unknown,unknown,1,0.01,Activation,,,
RYR1,GE_972.9 [Muscular dystrophy],0.394,1,1.0,Other or unknown,unknown,1,0.999,Activation,,dantrolene,
MYL2,CV_414.1 [Hypertrophic cardiomyopathy],0.391,1,4.0,Inhibition,mavacamten (IV),1,0.405,Activation,"danicamtiv, omecamtiv mecarbil",mavacamten,
SCO2,GE_963.1 [Lipid storage disorders],0.386,0,0.0,,,0,0.003,,,,
DMD,GE_972.9 [Muscular dystrophy],0.381,1,4.0,Activation,"casimersen (IV), drisapersen (III), eteplirsen (IV), golodirsen (IV)
 suvodirsen (II), viltolarsen (IV)",1,0.006,Activation,"casimersen, drisapersen, eteplirsen, golodirsen, suvodirsen, viltolarsen",,
HBB,GE_970.2 [Thalassemia],0.381,1,4.0,Other or unknown,betibeglogene autotemcel (IV),1,0.835,Activation,voxelotor,efaproxiral,betibeglogene autotemcel
RBM20,CV_414.1 [Hypertrophic cardiomyopathy],0.351,0,0.0,,,0,0.001,Activation,,,
ANKH,MS_703.2 [Chondrocalcinosis],0.34,0,0.0,,,0,0.002,Activation,,,
FHOD3,CV_414.1 [Hypertrophic cardiomyopathy],0.338,0,0.0,,,0,0.002,Activation,,,
CAPN3,GE_972.9 [Muscular dystrophy],0.337,0,0.0,,,0,0.007,Activation,,,
KCNA1,GE_972.2 [Hereditary ataxia],0.336,1,2.0,Inhibition,dalfampridine (II),1,0.998,Activation,,"amifampridine, dalfampridine, guanidine, isoflurane, nerispirdine, tedisamil",
SOST,CM_770.5 [Congenital osteodystrophies],0.336,1,3.0,Inhibition,"romosozumab (III), setrusumab (III)",1,0.269,Activation,,"amg-167, anti-sclerostin, blosozumab, romosozumab, setrusumab",
