Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
MYH7,CV_414.1 [Hypertrophic cardiomyopathy],0.573,1,4.0,0.0,0.9,0.0,0.439,0.944,0.449,,5.924,0.216,0.196,0.996,5
VWF,GE_971.14 [Von Willebrand's disease],0.492,1,4.0,0.0,0.0,0.462,0.663,0.854,0.333,3.211,10.11,2.668,9.914,,4
MYH6,CV_414.1 [Hypertrophic cardiomyopathy],0.427,1,4.0,0.0,0.887,0.0,0.71,0.683,0.372,,2.878,0.326,0.426,0.982,5
HTT,GE_973.5 [Huntington's disease],0.41,1,3.0,0.0,0.0,0.0,0.394,0.701,0.973,,2.812,0.349,0.144,,4
TPM1,CV_414.1 [Hypertrophic cardiomyopathy],0.409,0,0.0,0.0,0.894,0.0,0.39,0.856,0.274,2.932,0.391,0.11,0.177,0.966,5
CACNA1A,GE_972.2 [Hereditary ataxia],0.404,1,4.0,0.0,0.898,0.0,0.517,0.884,0.096,4.164,3.517,0.164,0.125,0.999,5
DYSF,GE_972.9 [Muscular dystrophy],0.396,1,0.5,0.0,0.9,0.0,0.475,0.892,0.137,4.745,3.549,2.683,2.035,0.999,5
RYR1,GE_972.9 [Muscular dystrophy],0.394,1,1.0,0.0,0.892,0.0,0.486,0.883,0.134,,2.692,0.854,0.153,0.997,5
MYL2,CV_414.1 [Hypertrophic cardiomyopathy],0.391,1,4.0,0.0,0.892,0.0,0.646,0.838,0.191,2.897,2.809,0.231,0.169,0.92,5
SCO2,GE_963.1 [Lipid storage disorders],0.386,0,0.0,0.0,0.547,0.0,0.0,0.0,0.0,,0.108,0.221,0.115,0.98,2
DMD,GE_972.9 [Muscular dystrophy],0.381,1,4.0,0.069,0.9,0.0,0.594,0.865,0.108,4.685,3.088,0.229,4.213,0.996,6
HBB,GE_970.2 [Thalassemia],0.381,1,4.0,0.0,0.0,0.0,0.459,0.824,0.115,5.24,67.532,209.346,29.781,,4
RBM20,CV_414.1 [Hypertrophic cardiomyopathy],0.351,0,0.0,0.0,0.867,0.0,0.783,0.184,0.377,3.5,2.809,0.338,0.159,,4
ANKH,MS_703.2 [Chondrocalcinosis],0.34,0,0.0,0.0,0.304,0.0,0.408,0.839,0.259,3.938,2.428,0.242,0.7,,4
FHOD3,CV_414.1 [Hypertrophic cardiomyopathy],0.338,0,0.0,0.0,0.888,0.593,0.463,0.539,0.37,2.251,8.375,8.212,0.511,0.68,5
CAPN3,GE_972.9 [Muscular dystrophy],0.337,0,0.0,0.0,0.9,0.0,0.449,0.877,0.118,,3.576,0.199,0.1,0.994,5
KCNA1,GE_972.2 [Hereditary ataxia],0.336,1,2.0,0.15,0.889,0.0,0.36,0.208,0.175,2.909,1.189,0.084,0.093,0.969,6
SOST,CM_770.5 [Congenital osteodystrophies],0.336,1,3.0,0.0,0.857,0.0,0.4,0.743,0.175,,0.103,0.093,0.065,0.957,4
NDUFS6,CV_414.1 [Hypertrophic cardiomyopathy],0.335,0,0.0,0.0,0.426,0.0,0.292,0.0,0.0,1.35,0.188,0.199,0.136,0.998,4
TMEM67,GE_972.2 [Hereditary ataxia],0.33,0,0.0,0.0,0.426,0.0,0.0,0.29,0.0,2.359,2.655,0.271,0.306,0.996,3
CYP11B2,EM_211.1 [Adrenal hyperfunction],0.325,1,4.0,0.213,0.0,0.0,0.404,0.454,0.134,,1.261,0.419,0.153,,4
FGFR3,GE_978.3 [Osteochondrodysplasias],0.323,1,2.0,0.0,0.0,0.0,0.475,0.822,0.179,,3.679,3.151,3.494,,4
TNFSF11,CM_770.5 [Congenital osteodystrophies],0.322,1,3.0,0.0,0.801,0.0,0.355,0.701,0.136,4.245,2.613,0.146,0.054,0.996,5
NR3C1,EM_211.1 [Adrenal hyperfunction],0.321,1,4.0,0.0,0.0,0.0,0.47,0.0,0.123,3.387,2.714,0.176,0.163,,3
PKHD1,GE_976.5 [Polycystic kidney disease],0.32,0,0.0,0.0,0.0,0.0,0.429,0.822,0.268,4.143,3.411,2.34,0.635,,4
LARGE1,GE_972.9 [Muscular dystrophy],0.32,0,0.0,0.0,0.84,0.0,0.392,0.161,0.098,2.861,2.664,0.179,0.139,,4
TNNI3,CV_414.1 [Hypertrophic cardiomyopathy],0.316,0,0.0,0.0,0.896,0.0,0.561,0.891,0.874,,4.528,0.159,1.567,0.977,5
SCO2,NS_341.1 [Cerebral palsy],0.315,0,0.0,0.0,0.547,0.0,0.0,0.0,0.0,,3.157,0.351,0.139,0.985,3
SMN1,NS_323.3 [Motor neuron disease],0.312,1,4.0,0.0,0.654,0.0,0.435,0.686,0.102,,0.093,0.093,,0.003,4
CP,GE_972.2 [Hereditary ataxia],0.312,0,0.0,0.0,0.0,0.0,0.368,0.623,0.119,,2.23,0.181,0.134,0.729,5
SCN4A,NS_339.2 [Myotonic disorders],0.309,1,4.0,0.0,0.0,0.0,0.434,0.883,0.085,,3.533,0.145,1.109,,4
ACE,GU_580.1 [Acute nephritic syndrome],0.308,1,4.0,0.0,0.532,0.0,0.521,0.0,0.183,3.973,2.575,0.347,0.334,0.913,5
